BAM.A.TO,2010-02-19,2009:Q4
BPO.TO,2010-02-05,2009:Q4
BRCu.TO,2010-02-09,2009:Q4
CAE.TO,2010-02-10,2010:Q3
CWTu.TO,2010-02-24,2009:Q4
CCO.TO,2010-02-24,2009:Q4
CARu.TO,2010-02-24,2009:Q4
CM.TO,2009-12-03,2009:A
CNR.TO,2010-01-26,2009:Q4
CNQ.TO,2010-03-04,2009:Q4
COSu.TO,2010-01-28,2009:Q4
CP.TO,2010-01-28,2009:Q4
REFu.TO,2010-02-12,2009:Q4
CTC.A.TO,2010-02-11,2009:Q4
CU.TO,2010-02-18,2009:Q4
CWB.TO,2009-12-02,2009:Q4
CFP.TO,2010-02-12,2009:Q4
,4-4-2009,
CCL.B.TO,2010-02-25,2009:Q4
CLS.TO,2010-01-27,2009:Q4
CLT.TO,2010-03-05,2009:Q4
CVE.TO,2010-02-11,2009:Q4
CG.TO,2010-02-23,2009:Q4
GIB.A.TO,2009-11-09,2009:A
CSHu.TO,2010-03-04,2009:Q4
CIX.TO,2010-02-23,2009:Q4
CGXu.TO,2010-02-11,2009:Q4
CLCu.TO,2010-03-04,2009:Q4
CCA.TO,2009-10-30,2009:A
CUFu.TO,2010-03-11,2009:Q4
CLM.TO,2010-03-18,2009:Q4
CJR.B.TO,2009-10-22,2009:A
BCB.TO,2010-02-24,2009:Q4
CPG.TO,2010-03-11,2009:Q4
CR.TO,2010-03-09,2009:Q4
DHFu.TO,2010-03-02,2009:Q4
DAYu.TO,2010-03-02,2009:Q4
DGC.TO,2010-03-15,2009:Q4
DII.B.TO,2010-03-10,2009:Q4
DC.A.TO,2010-03-29,2009:Q4
Du.TO,2010-02-23,2009:Q4
ELR.TO,2010-03-31,2009:Q4
ELD.TO,2010-03-18,2009:Q4
EMA.TO,2010-02-12,2009:Q4
EMP.A.TO,2009-09-11,2010:Q1
ENB.TO,2010-02-03,2009:Q4
ECA.TO,2010-02-11,2009:Q4
ERFu.TO,2010-02-25,2009:Q4
ESI.TO,2010-03-15,2009:Q4
